time,open,close,high,low,volume
1546297320000,3334.48951034,3329.8,3334.48951034,3329.8,4.35812931
1546297380000,3334.75079984,3334.75079984,3334.75079984,3334.75079984,0.57175346
1546297440000,3337.1,3343.1,3343.1,3337.1,5.44532012
1546297560000,3339.25724394,3338.64733394,3339.25724394,3338.64733394,0.2
1546297740000,3342.6,3339.3,3342.6,3339.3,2.85863191
1546297800000,3339.3,3340.2,3340.2,3339.3,1.1607861000000002
1546297920000,3340.1,3340.1,3340.1,3340.1,0.06917649
1546297980000,3336.29482394,3336.29482394,3336.29482394,3336.29482394,0.2
1546298160000,3332.8409782,3332.8409782,3332.8409782,3332.8409782,0.17441220000000002
1546298400000,3339.9,3339.0,3342.2,3339.0,1.62277685
1546299300000,3330.7,3330.7,3330.7,3330.7,2.02
1546299360000,3330.7,3330.7,3330.7,3330.7,2.13121879
1546299420000,3332.0,3332.0,3332.0,3332.0,0.015
1546299480000,3334.6,3334.6,3334.6,3334.6,0.005
1546299600000,3334.0,3335.1,3335.1,3334.0,0.48910761
1546299660000,3333.40727175,3333.05918975,3333.40727175,3333.05918975,0.13351974
1546299720000,3332.53706675,3330.27453375,3332.53706675,3330.27453375,0.37647414
1546299780000,3330.0,3330.0,3330.0,3330.0,0.59687832
1546299840000,3329.94477287,3326.0,3329.94477287,3326.0,4.06648026
1546299900000,3328.96922625,3328.96922625,3328.96922625,3328.96922625,0.91490597
1546299960000,3326.7,3328.44710325,3328.44710325,3326.7,1.87387481
1546300020000,3327.3,3327.9,3327.9,3327.3,0.13408315999999998
1546300200000,3327.2,3327.1,3327.2,3327.1,1.76757711
1546300260000,3324.1,3324.1,3324.1,3324.1,0.94860385
1546300680000,3332.0,3331.5,3332.0,3331.5,6.5
1546300980000,3334.3,3334.3,3334.3,3334.3,0.005
1546301040000,3334.3,3334.3,3334.3,3334.3,0.04621695
1546301160000,3338.8539925,3338.8539925,3338.8539925,3338.8539925,0.19940037
1546301400000,3334.9,3334.9,3334.9,3334.9,0.60417181
1546301580000,3339.4,3339.4,3339.4,3339.4,3.3600000000000003
1546301760000,3336.41444681,3336.41444681,3336.41444681,3336.41444681,0.2
1546301880000,3336.32737281,3336.32737281,3336.32737281,3336.32737281,0.11636718
1546301940000,3334.2,3334.2,3334.2,3334.2,0.1
1546302660000,3333.14732124,3333.14732124,3333.14732124,3333.14732124,0.01768403
1546302720000,3335.6,3335.6,3335.6,3335.6,0.18323282
1546302780000,3335.84777774,3335.84777774,3335.84777774,3335.84777774,0.4
1546303440000,3342.7,3342.7,3342.7,3342.7,1.40305922
1546303560000,3343.6,3343.1,3343.6,3343.1,1.49522217
1546303620000,3344.2,3344.2,3344.2,3344.2,0.08750679
1546303680000,3344.2,3344.2,3344.2,3344.2,0.81249321
1546303740000,3349.9,3349.1,3349.9,3349.1,1.72643478
1546303800000,3349.08092688,3349.0,3349.08092688,3349.0,3.56157071
1546303860000,3349.0,3349.0,3349.0,3349.0,0.13138942
1546303920000,3349.11769996,3349.11769996,3349.11769996,3349.11769996,0.01
1546304040000,3349.0,3343.7,3349.0,3343.7,0.7913177899999999
1546304100000,3347.5,3347.5,3347.5,3347.5,1.5996351999999998
1546304160000,3346.7,3346.55489638,3346.7,3346.55489638,1.05923814
1546304220000,3346.7,3345.94516488,3346.7,3345.94516488,1.23767452
1546304280000,3343.0,3335.8,3343.0,3335.8,6.06736039
1546304340000,3337.6,3340.6,3340.6,3337.6,0.6562889199999999
1546304400000,3340.5,3340.6,3340.6,3340.5,0.505
1546304460000,3341.9,3341.9,3341.9,3341.9,0.46
1546304640000,3338.6,3338.6,3338.6,3338.6,1.27
1546304700000,3341.1,3338.8,3341.1,3338.8,1.3824528
1546304760000,3339.06830717,3341.6,3341.6,3339.06830717,0.8505125800000001
1546304820000,3339.2,3339.2,3339.2,3339.2,0.05122013
1546304880000,3337.4,3339.3,3339.3,3337.4,1.03121978
1546304940000,3342.1,3342.1,3342.1,3342.1,0.23195697
1546305000000,3340.4,3341.5,3341.5,3340.4,0.36852094
1546305060000,3342.55536323,3342.55536323,3342.55536323,3342.55536323,0.1996
1546305480000,3342.0,3342.0,3342.0,3342.0,1.18018631
1546305540000,3342.0,3342.0,3342.0,3342.0,0.28
1546305600000,3342.8,3342.8,3342.8,3342.8,0.33052544
1546305660000,3340.9,3340.9,3340.9,3340.9,2.2035593
1546305720000,3340.4,3340.4,3340.4,3340.4,0.095568
1546305780000,3340.4,3340.4,3340.4,3337.9,2.36846182
1546305840000,3340.4,3340.4,3340.4,3340.4,0.08718996
1546305960000,3342.3,3342.3,3342.3,3342.3,0.42827446
1546306020000,3342.3,3343.1,3343.1,3342.3,0.52294735
1546306200000,3338.5,3338.2,3338.5,3338.2,0.6522942899999999
1546306320000,3339.7,3340.0,3340.0,3338.4,1.24030735
1546306380000,3341.6,3341.6,3341.6,3341.6,0.79416223
1546306440000,3341.3,3340.6,3341.3,3340.6,1.67841912
1546306500000,3340.6,3340.6,3340.6,3340.6,1.39741865
1546306740000,3338.2,3338.2,3338.2,3338.2,0.15862017
1546306920000,3341.0,3340.0,3341.0,3337.5,0.8645439699999999
1546307100000,3334.9,3335.5,3335.5,3334.9,0.6
1546307220000,3334.82026934,3334.82026934,3334.82026934,3334.82026934,0.4
1546307280000,3328.9,3328.9,3328.9,3328.9,0.6
1546307400000,3335.5,3335.5,3335.5,3335.5,0.6494055999999999
1546307640000,3335.25605684,3333.9,3335.25605684,3333.9,0.24307353
1546307760000,3335.9,3335.9,3335.9,3335.9,0.05121777
1546307820000,3338.3,3337.7,3338.3,3337.7,0.48901807
1546307880000,3337.4,3337.4,3337.4,3337.4,0.11098193
1546307940000,3336.9,3336.9,3336.9,3336.9,0.19166077
1546308000000,3338.1,3338.1,3338.1,3338.1,0.79435618
1546308180000,3338.1,3338.1,3338.1,3338.1,0.25273024
1546308240000,3338.1,3338.1,3338.1,3338.1,0.86824113
1546308300000,3338.1,3338.1,3338.1,3338.1,0.64353727
1546308660000,3331.7,3331.7,3331.7,3331.7,0.2
1546308840000,3336.9,3336.9,3336.9,3336.9,0.005
1546308960000,3338.5,3338.5,3338.5,3338.5,0.24621777
1546309320000,3341.6,3341.6,3341.6,3341.6,0.15369076
1546309380000,3341.0,3341.0,3341.0,3340.8,1.03295599
1546309440000,3340.8,3340.8,3340.8,3340.8,0.31645084
1546309500000,3341.3,3341.3,3341.3,3341.3,0.014
1546309620000,3339.3,3339.3,3339.3,3339.3,0.22
1546309680000,3338.5,3332.9,3338.5,3327.0,1.04843644
1546309740000,3332.7,3332.7,3332.7,3332.7,0.0393
1546309800000,3331.4,3331.4,3331.4,3331.4,0.2
1546309860000,3332.9,3332.9,3332.9,3332.9,0.2
1546309920000,3333.6,3333.6,3333.6,3333.6,0.59999453
1546310040000,3329.1,3329.1,3329.1,3329.1,0.26248744
1546310100000,3328.8,3330.3,3330.3,3328.8,0.1024335
1546310220000,3329.3,3329.3,3329.3,3329.3,0.12684868
1546310280000,3328.9,3329.3,3329.3,3328.9,0.2063685
1546310340000,3329.3,3329.3,3329.3,3329.3,0.20066388
1546310460000,3329.3,3329.3,3329.3,3329.3,2.5
1546310700000,3326.0,3325.1,3326.0,3325.1,3.34121329
1546310880000,3324.44852682,3324.44852682,3324.44852682,3324.44852682,0.00463135
1546311000000,3321.8,3321.8,3321.8,3321.8,1.75
1546311180000,3321.9,3321.8,3321.9,3321.8,0.04166895
1546311300000,3324.7,3324.7,3324.7,3324.7,0.2
1546311360000,3324.4,3324.4,3324.4,3324.4,0.025
1546311420000,3326.5,3326.5,3326.5,3326.5,0.1570685
1546311600000,3329.3,3329.3,3329.3,3329.3,0.4558
1546311660000,3329.3,3329.3,3329.3,3329.3,0.442
1546311900000,3329.3,3329.3,3329.3,3329.3,2.5
1546312020000,3328.7,3328.7,3328.7,3328.6,2.29954371
1546312080000,3328.7,3328.7,3328.7,3328.7,0.72
1546312140000,3329.3,3329.3,3329.32934683,3329.3,2.0003822
1546312200000,3329.3,3329.3,3329.3,3329.3,0.8723203300000001
1546312320000,3329.4,3329.4,3329.4,3329.4,0.005
1546312380000,3329.4,3329.4,3329.4,3329.4,0.005
1546312560000,3333.9,3338.1,3338.1,3333.9,0.01500492
1546313040000,3338.2,3338.2,3338.2,3338.2,0.05121758
1546313580000,3338.9,3338.9,3338.9,3338.9,0.09359584
1546314000000,3335.43037184,3335.16889934,3335.43037184,3335.16889934,0.68296359
1546314480000,3334.9,3334.9,3334.9,3334.9,0.05121742
1546314660000,3332.8,3332.8,3332.8,3332.8,0.05121742
1546314720000,3336.1,3336.1,3336.1,3336.1,0.59683504
